Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5              Trial 
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS 

Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5              Trial 
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS 
SOF  WCTL SAB 13 SAB 17 SAB 12 SAB 17 SAB 16  WCTL SAB 16 SAB 15 SAB 12 SAB 18 SAB 15 {1=[0, 0, 0], 2=[0, 0, 0]} 0  0 
TRY  WCTL SAB 14 SAB 18 SAB 10 SAB 14 SAB 13  WCTL SAB 15 SAB 12 SAB 11 SAB 21 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 1  -1 
TRY  WCTL SAB 15 SAB 18 SAB 10 SAB 14 SAB 13  WCTL SAB 15 SAB 12 SAB 11 SAB 21 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 1  -1 
TRY  WCTL SAB 15 SAB 18 SAB 10 SAB 14 SAB 13  WCTL SAB 16 SAB 12 SAB 11 SAB 21 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 1  -1 
WTC  WCTL SAB 15 SAB 18 SAB 10 SAB 14 SAB 13  WCTL SAB 16 SAB 12 SAB 11 SAB 21 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 1  -1 
WTC  WCTL SAB 15 SAB 18 SAB 10 SAB 14 SAB 13  WCTL SAB 16 SAB 12 SAB 11 SAB 21 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 2  -1 
WTC  WCTL SAB 15 SAB 18 SAB 10 SAB 14 SAB 13  WCTL SAB 16 SAB 12 SAB 11 SAB 21 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 10 SAB 14 SAB 12  WCTL SAB 16 SAB 12 SAB 11 SAB 21 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 10 SAB 14 SAB 12  WCTL SAB 16 SAB 12 SAB 10 SAB 21 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 10 SAB 14 SAB 12  WCTL SAB 16 SAB 12 SAB 10 SAB 20 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 10 SAB 13 SAB 12  WCTL SAB 16 SAB 12 SAB 10 SAB 20 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 2  -2 
WTC  WCTL SAB 15 SAB 17 SAB 10 SAB 13 SAB 12  WCTL SAB 16 SAB 12 SAB 10 SAB 20 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 2  -2 
WTC  WCTL SAB 15 SAB 17 SAB 10 SAB 13 SAB 12  WCTL SAB 16 SAB 11 SAB 10 SAB 20 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 2  -2 
SOF  WCTL SAB 15 SAB 17 SAB 10 SAB 13 SAB 12  WCTL SAB 16 SAB 11 SAB 10 SAB 20 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 2  -2 
TRY  WCTL SAB 15 SAB 17 SAB 10 SAB 13 SAB 12  WCTL SAB 16 SAB 11 SAB 10 SAB 20 SAB 11 {1=[5, 4, 2], 2=[5, 4, 2]} 2  -2 
TRY  WCTL SAB 15 SAB 17 SAB 10 SAB 13 SAB 12  WCTL SAB 16 SAB 11 SAB 10 SAB 20 SAB 11 {1=[1, 4, 5], 2=[1, 4, 5]} 2  -2 
TRY  WCTL SAB 15 SAB 17 SAB 10 SAB 13 SAB 12  WCTL SAB 16 SAB 11 SAB 10 SAB 20 SAB 11 {1=[2, 1, 3], 2=[2, 1, 3]} 2  -2 
TRY  WCTL SAB 15 SAB 18 SAB 10 SAB 13 SAB 12  WCTL SAB 16 SAB 11 SAB 10 SAB 20 SAB 11 {1=[2, 1, 3], 2=[2, 1, 3]} 2  -2 
TRY  WCTL SAB 15 SAB 18 SAB 10 SAB 13 SAB 12  WCTL SAB 16 SAB 11 SAB 10 SAB 21 SAB 11 {1=[2, 1, 3], 2=[2, 1, 3]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 10 SAB 13 SAB 12  WCTL SAB 16 SAB 11 SAB 10 SAB 21 SAB 11 {1=[2, 1, 3], 2=[2, 1, 3]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 11 SAB 13 SAB 12  WCTL SAB 16 SAB 11 SAB 10 SAB 21 SAB 11 {1=[2, 1, 3], 2=[2, 1, 3]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 11 SAB 13 SAB 12  WCTL SAB 16 SAB 11 SAB 10 SAB 21 SAB 12 {1=[2, 1, 3], 2=[2, 1, 3]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 11 SAB 13 SAB 12  WCTL SAB 16 SAB 10 SAB 10 SAB 21 SAB 12 {1=[2, 1, 3], 2=[2, 1, 3]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 11 SAB 13 SAB 12  WCTL SAB 15 SAB 10 SAB 10 SAB 21 SAB 12 {1=[2, 1, 3], 2=[2, 1, 3]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 11 SAB 13 SAB 11  WCTL SAB 15 SAB 10 SAB 10 SAB 21 SAB 12 {1=[2, 1, 3], 2=[2, 1, 3]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 11 SAB 13 SAB 11  WCTL SAB 15 SAB 10 SAB  9 SAB 21 SAB 12 {1=[2, 1, 3], 2=[2, 1, 3]} 2  -2 
WTC  WCTL SAB 15 SAB 18 SAB 11 SAB 13 SAB 11  WCTL SAB 15 SAB 10 SAB  9 SAB 21 SAB 12 {1=[2, 1, 3], 2=[2, 1, 3]} 3  -2 
WTC  WCTL SAB 15 SAB 18 SAB 11 SAB 13 SAB 11  WCTL SAB 15 SAB 10 SAB  9 SAB 21 SAB 12 {1=[2, 1, 3], 2=[2, 1, 3]} 3  -3 
WTC  WCTL SAB 15 SAB 18 SAB 11 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB  9 SAB 21 SAB 12 {1=[2, 1, 3], 2=[2, 1, 3]} 3  -3 
WTC  WCTL SAB 14 SAB 18 SAB 11 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB  9 SAB 21 SAB 12 {1=[2, 1, 3], 2=[2, 1, 3]} 3  -3 
SOF  WCTL SAB 14 SAB 18 SAB 11 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB  9 SAB 21 SAB 12 {1=[2, 1, 3], 2=[2, 1, 3]} 3  -3 
TRY  WCTL SAB 14 SAB 18 SAB 11 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB  9 SAB 21 SAB 12 {1=[2, 1, 3], 2=[2, 1, 3]} 3  -3 
TRY  WCTL SAB 14 SAB 18 SAB 11 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB  9 SAB 21 SAB 12 {1=[2, 1, 5], 2=[2, 1, 5]} 3  -3 
TRY  WCTL SAB 14 SAB 18 SAB 11 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB  9 SAB 21 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 3  -3 
TRY  WCTL SAB 14 SAB 18 SAB 11 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB 10 SAB 21 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 3  -3 
TRY  WCTL SAB 14 SAB 19 SAB 11 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB 10 SAB 21 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 3  -3 
TRY  WCTL SAB 14 SAB 19 SAB 12 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB 10 SAB 21 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 3  -3 
TRY  WCTL SAB 14 SAB 19 SAB 12 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB 10 SAB 22 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 3  -3 
WTC  WCTL SAB 14 SAB 19 SAB 12 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB 10 SAB 22 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 3  -3 
WTC  WCTL SAB 13 SAB 19 SAB 12 SAB 12 SAB 11  WCTL SAB 15 SAB 10 SAB 10 SAB 22 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 3  -3 
WTC  WCTL SAB 13 SAB 19 SAB 12 SAB 12 SAB 11  WCTL SAB 15 SAB  9 SAB 10 SAB 22 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 3  -3 
WTC  WCTL SAB 13 SAB 19 SAB 12 SAB 12 SAB 10  WCTL SAB 15 SAB  9 SAB 10 SAB 22 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 3  -3 
WTC  WCTL SAB 13 SAB 19 SAB 12 SAB 11 SAB 10  WCTL SAB 15 SAB  9 SAB 10 SAB 22 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 3  -3 
WTC  WCTL SAB 13 SAB 19 SAB 12 SAB 11 SAB 10  WCTL SAB 15 SAB  9 SAB 10 SAB 22 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 4  -3 
WTC  WCTL SAB 13 SAB 19 SAB 12 SAB 11 SAB 10  WCTL SAB 15 SAB  9 SAB 10 SAB 22 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 4  -3 
WTC  WCTL SAB 13 SAB 19 SAB 12 SAB 11 SAB 10  WCTL SAB 14 SAB  9 SAB 10 SAB 22 SAB 12 {1=[5, 1, 4], 2=[5, 1, 4]} 4  -3 
WTC  WCTL SAB 13 SAB 19 SAB 12 SAB 11 SAB 10  WCTL SAB 14 SAB  9 SAB 10 SAB 22 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 4  -3 
SOF  WCTL SAB 13 SAB 19 SAB 12 SAB 11 SAB 10  WCTL SAB 14 SAB  9 SAB 10 SAB 22 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 4  -3 
TRY  WCTL SAB 13 SAB 19 SAB 12 SAB 11 SAB 10  WCTL SAB 14 SAB  9 SAB 10 SAB 22 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 4  -3 
TRY  WCTL SAB 13 SAB 19 SAB 12 SAB 11 SAB 10  WCTL SAB 14 SAB  9 SAB 10 SAB 22 SAB 11 {1=[5, 3, 1], 2=[5, 3, 1]} 4  -3 
TRY  WCTL SAB 13 SAB 19 SAB 12 SAB 11 SAB 10  WCTL SAB 14 SAB  9 SAB 10 SAB 22 SAB 11 {1=[3, 1, 2], 2=[3, 1, 2]} 4  -3 
TRY  WCTL SAB 13 SAB 19 SAB 12 SAB 11 SAB 10  WCTL SAB 14 SAB  9 SAB 10 SAB 22 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 4  -3 
TRY  WCTL SAB 13 SAB 20 SAB 12 SAB 11 SAB 10  WCTL SAB 14 SAB  9 SAB 10 SAB 22 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 4  -3 
TRY  WCTL SAB 13 SAB 20 SAB 12 SAB 12 SAB 10  WCTL SAB 14 SAB  9 SAB 10 SAB 22 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 4  -3 
WTC  WCTL SAB 13 SAB 20 SAB 12 SAB 12 SAB 10  WCTL SAB 14 SAB  9 SAB 10 SAB 22 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 4  -3 
WTC  WCTL SAB 13 SAB 20 SAB 12 SAB 12 SAB 10  WCTL SAB 13 SAB  9 SAB 10 SAB 22 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 4  -3 
WTC  WCTL SAB 13 SAB 20 SAB 12 SAB 12 SAB 10  WCTL SAB 13 SAB  9 SAB 10 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 4  -3 
WTC  WCTL SAB 13 SAB 20 SAB 12 SAB 12 SAB 10  WCTL SAB 13 SAB  9 SAB 10 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 5  -3 
WTC  WCTL SAB 13 SAB 20 SAB 12 SAB 12 SAB 10  WCTL SAB 13 SAB  9 SAB 10 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 5  -4 
WTC  WCTL SAB 12 SAB 20 SAB 12 SAB 12 SAB 10  WCTL SAB 13 SAB  9 SAB 10 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 5  -4 
WTC  WCTL SAB 12 SAB 20 SAB 12 SAB 12 SAB 10  WCTL SAB 13 SAB  8 SAB 10 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 5  -4 
WTC  WCTL SAB 12 SAB 20 SAB 12 SAB 12 SAB 10  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 5  -4 
WTC  WCTL SAB 12 SAB 20 SAB 11 SAB 12 SAB 10  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 5  -4 
WTC  WCTL SAB 12 SAB 20 SAB 11 SAB 12 SAB  9  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 5  -4 
Game 2 was won by team A by knock out in 5 trials.
Game 2 was won by team A by points.
EOG  WCTL SAB 12 SAB 20 SAB 11 SAB 12 SAB  9  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 5  -4 
SOM  WCTL SAB 12 SAB 20 SAB 11 SAB 12 SAB  9  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 5  -4 

Game 3
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5              Trial 
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS 
SOM  WCTL SAB 12 SAB 20 SAB 11 SAB 12 SAB  9  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 0  0 
TRY  WCTL SAB 12 SAB 20 SAB 11 SAB 12 SAB  9  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[3, 1, 2], 2=[3, 1, 2]} 0  0 
TRY  WCTL SAB 12 SAB 20 SAB 11 SAB 12 SAB  9  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[4, 1, 2], 2=[4, 1, 2]} 0  0 
TRY  WCTL SAB 12 SAB 20 SAB 11 SAB 12 SAB  9  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[1, 3, 4], 2=[1, 3, 4]} 0  0 
TRY  WCTL SAB 12 SAB 20 SAB 11 SAB 12 SAB 10  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[1, 3, 4], 2=[1, 3, 4]} 0  0 
WTC  WCTL SAB 12 SAB 20 SAB 11 SAB 12 SAB 10  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[1, 3, 4], 2=[1, 3, 4]} 0  0 
WTC  WCTL SAB 12 SAB 21 SAB 11 SAB 12 SAB 10  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 12 {1=[1, 3, 4], 2=[1, 3, 4]} 0  0 
WTC  WCTL SAB 12 SAB 21 SAB 11 SAB 12 SAB 10  WCTL SAB 13 SAB  8 SAB  9 SAB 23 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 0  0 
WTC  WCTL SAB 12 SAB 21 SAB 11 SAB 12 SAB 10  WCTL SAB 13 SAB  8 SAB 10 SAB 23 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 0  0 
WTC  WCTL SAB 11 SAB 21 SAB 11 SAB 12 SAB 10  WCTL SAB 13 SAB  8 SAB 10 SAB 23 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 0  0 
WTC  WCTL SAB 11 SAB 21 SAB 11 SAB 12 SAB 10  WCTL SAB 13 SAB  7 SAB 10 SAB 23 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 0  0 
WTC  WCTL SAB 11 SAB 21 SAB 10 SAB 12 SAB 10  WCTL SAB 13 SAB  7 SAB 10 SAB 23 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 0  0 
WTC  WCTL SAB 11 SAB 21 SAB 10 SAB 12 SAB 10  WCTL SAB 13 SAB  7 SAB 10 SAB 23 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 1  0 
WTC  WCTL SAB 11 SAB 21 SAB 10 SAB 12 SAB 10  WCTL SAB 13 SAB  7 SAB 10 SAB 23 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 1  1 
WTC  WCTL SAB 11 SAB 21 SAB 10 SAB 11 SAB 10  WCTL SAB 13 SAB  7 SAB 10 SAB 23 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 1  1 
WTC  WCTL SAB 11 SAB 21 SAB 10 SAB 11 SAB 10  WCTL SAB 12 SAB  7 SAB 10 SAB 23 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 1  1 
WTC  WCTL SAB 11 SAB 21 SAB 10 SAB 11 SAB 10  WCTL SAB 12 SAB  7 SAB 10 SAB 22 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 1  1 
SOF  WCTL SAB 11 SAB 21 SAB 10 SAB 11 SAB 10  WCTL SAB 12 SAB  7 SAB 10 SAB 22 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 1  1 
TRY  WCTL SAB 11 SAB 21 SAB 10 SAB 11 SAB 10  WCTL SAB 12 SAB  7 SAB 10 SAB 22 SAB 13 {1=[1, 3, 4], 2=[1, 3, 4]} 1  1 
TRY  WCTL SAB 11 SAB 21 SAB 10 SAB 11 SAB 10  WCTL SAB 12 SAB  7 SAB 10 SAB 22 SAB 13 {1=[3, 5, 4], 2=[3, 5, 4]} 1  1 
TRY  WCTL SAB 11 SAB 21 SAB 10 SAB 11 SAB 10  WCTL SAB 12 SAB  7 SAB 10 SAB 22 SAB 13 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
TRY  WCTL SAB 11 SAB 21 SAB 10 SAB 11 SAB 10  WCTL SAB 13 SAB  7 SAB 10 SAB 22 SAB 13 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
TRY  WCTL SAB 12 SAB 21 SAB 10 SAB 11 SAB 10  WCTL SAB 13 SAB  7 SAB 10 SAB 22 SAB 13 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
TRY  WCTL SAB 12 SAB 22 SAB 10 SAB 11 SAB 10  WCTL SAB 13 SAB  7 SAB 10 SAB 22 SAB 13 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
TRY  WCTL SAB 12 SAB 22 SAB 10 SAB 11 SAB 10  WCTL SAB 13 SAB  7 SAB 10 SAB 22 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
WTC  WCTL SAB 12 SAB 22 SAB 10 SAB 11 SAB 10  WCTL SAB 13 SAB  7 SAB 10 SAB 22 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
WTC  WCTL SAB 12 SAB 22 SAB 10 SAB 11 SAB 10  WCTL SAB 13 SAB  6 SAB 10 SAB 22 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
WTC  WCTL SAB 12 SAB 22 SAB 10 SAB 11 SAB  9  WCTL SAB 13 SAB  6 SAB 10 SAB 22 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
WTC  WCTL SAB 12 SAB 22 SAB 10 SAB 11 SAB  9  WCTL SAB 13 SAB  6 SAB  9 SAB 22 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
WTC  WCTL SAB 12 SAB 22 SAB  9 SAB 11 SAB  9  WCTL SAB 13 SAB  6 SAB  9 SAB 22 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
WTC  WCTL SAB 12 SAB 22 SAB  9 SAB 10 SAB  9  WCTL SAB 13 SAB  6 SAB  9 SAB 22 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
WTC  WCTL SAB 12 SAB 22 SAB  9 SAB 10 SAB  9  WCTL SAB 13 SAB  6 SAB  9 SAB 21 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 1  1 
WTC  WCTL SAB 12 SAB 22 SAB  9 SAB 10 SAB  9  WCTL SAB 13 SAB  6 SAB  9 SAB 21 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 2  1 
WTC  WCTL SAB 12 SAB 22 SAB  9 SAB 10 SAB  9  WCTL SAB 13 SAB  6 SAB  9 SAB 21 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 2  2 
SOF  WCTL SAB 12 SAB 22 SAB  9 SAB 10 SAB  9  WCTL SAB 13 SAB  6 SAB  9 SAB 21 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 2  2 
TRY  WCTL SAB 12 SAB 22 SAB  9 SAB 10 SAB  9  WCTL SAB 13 SAB  6 SAB  9 SAB 21 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 2  2 
TRY  WCTL SAB 12 SAB 22 SAB  9 SAB 10 SAB  9  WCTL SAB 13 SAB  6 SAB  9 SAB 21 SAB 14 {1=[2, 3, 4], 2=[2, 3, 4]} 2  2 
TRY  WCTL SAB 12 SAB 22 SAB  9 SAB 10 SAB  9  WCTL SAB 13 SAB  6 SAB  9 SAB 21 SAB 14 {1=[4, 1, 5], 2=[4, 1, 5]} 2  2 
TRY  WCTL SAB 12 SAB 22 SAB 10 SAB 10 SAB  9  WCTL SAB 13 SAB  6 SAB  9 SAB 21 SAB 14 {1=[4, 1, 5], 2=[4, 1, 5]} 2  2 
TRY  WCTL SAB 12 SAB 22 SAB 10 SAB 10 SAB  9  WCTL SAB 14 SAB  6 SAB  9 SAB 21 SAB 14 {1=[4, 1, 5], 2=[4, 1, 5]} 2  2 
WTC  WCTL SAB 12 SAB 22 SAB 10 SAB 10 SAB  9  WCTL SAB 14 SAB  6 SAB  9 SAB 21 SAB 14 {1=[4, 1, 5], 2=[4, 1, 5]} 2  2 
WTC  WCTL SAB 12 SAB 23 SAB 10 SAB 10 SAB  9  WCTL SAB 14 SAB  6 SAB  9 SAB 21 SAB 14 {1=[4, 1, 5], 2=[4, 1, 5]} 2  2 
WTC  WCTL SAB 12 SAB 23 SAB 10 SAB 10 SAB  9  WCTL SAB 14 SAB  6 SAB  9 SAB 21 SAB 15 {1=[4, 1, 5], 2=[4, 1, 5]} 2  2 
WTC  WCTL SAB 12 SAB 23 SAB 10 SAB 10 SAB  9  WCTL SAB 14 SAB  6 SAB  9 SAB 21 SAB 15 {1=[4, 1, 5], 2=[4, 1, 5]} 3  2 
WTC  WCTL SAB 12 SAB 23 SAB 10 SAB 10 SAB  9  WCTL SAB 14 SAB  6 SAB  9 SAB 21 SAB 15 {1=[4, 1, 5], 2=[4, 1, 5]} 3  3 
WTC  WCTL SAB 12 SAB 23 SAB 10 SAB 10 SAB  8  WCTL SAB 14 SAB  6 SAB  9 SAB 21 SAB 15 {1=[4, 1, 5], 2=[4, 1, 5]} 3  3 
WTC  WCTL SAB 12 SAB 23 SAB 10 SAB 10 SAB  8  WCTL SAB 14 SAB  6 SAB  8 SAB 21 SAB 15 {1=[4, 1, 5], 2=[4, 1, 5]} 3  3 
WTC  WCTL SAB 12 SAB 23 SAB 10 SAB 10 SAB  8  WCTL SAB 14 SAB  5 SAB  8 SAB 21 SAB 15 {1=[4, 1, 5], 2=[4, 1, 5]} 3  3 
WTC  WCTL SAB 11 SAB 23 SAB 10 SAB 10 SAB  8  WCTL SAB 14 SAB  5 SAB  8 SAB 21 SAB 15 {1=[4, 1, 5], 2=[4, 1, 5]} 3  3 
WTC  WCTL SAB 11 SAB 23 SAB 10 SAB  9 SAB  8  WCTL SAB 14 SAB  5 SAB  8 SAB 21 SAB 15 {1=[4, 1, 5], 2=[4, 1, 5]} 3  3 
WTC  WCTL SAB 11 SAB 23 SAB 10 SAB  9 SAB  8  WCTL SAB 14 SAB  5 SAB  8 SAB 20 SAB 15 {1=[4, 1, 5], 2=[4, 1, 5]} 3  3 
SOF  WCTL SAB 11 SAB 23 SAB 10 SAB  9 SAB  8  WCTL SAB 14 SAB  5 SAB  8 SAB 20 SAB 15 {1=[4, 1, 5], 2=[4, 1, 5]} 3  3 
TRY  WCTL SAB 11 SAB 23 SAB 10 SAB  9 SAB  8  WCTL SAB 14 SAB  5 SAB  8 SAB 20 SAB 15 {1=[4, 1, 5], 2=[4, 1, 5]} 3  3 
TRY  WCTL SAB 11 SAB 23 SAB 10 SAB  9 SAB  8  WCTL SAB 14 SAB  5 SAB  8 SAB 20 SAB 15 {1=[1, 5, 3], 2=[1, 5, 3]} 3  3 
TRY  WCTL SAB 11 SAB 23 SAB 10 SAB  9 SAB  8  WCTL SAB 14 SAB  5 SAB  8 SAB 20 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 3  3 
TRY  WCTL SAB 11 SAB 23 SAB 10 SAB 10 SAB  8  WCTL SAB 14 SAB  5 SAB  8 SAB 20 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 3  3 
TRY  WCTL SAB 11 SAB 23 SAB 10 SAB 10 SAB  8  WCTL SAB 14 SAB  6 SAB  8 SAB 20 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 3  3 
TRY  WCTL SAB 11 SAB 23 SAB 10 SAB 10 SAB  8  WCTL SAB 14 SAB  6 SAB  9 SAB 20 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 3  3 
TRY  WCTL SAB 11 SAB 24 SAB 10 SAB 10 SAB  8  WCTL SAB 14 SAB  6 SAB  9 SAB 20 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 3  3 
WTC  WCTL SAB 11 SAB 24 SAB 10 SAB 10 SAB  8  WCTL SAB 14 SAB  6 SAB  9 SAB 20 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 3  3 
WTC  WCTL SAB 11 SAB 24 SAB 10 SAB 10 SAB  8  WCTL SAB 13 SAB  6 SAB  9 SAB 20 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 3  3 
WTC  WCTL SAB 11 SAB 24 SAB  9 SAB 10 SAB  8  WCTL SAB 13 SAB  6 SAB  9 SAB 20 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 3  3 
WTC  WCTL SAB 11 SAB 24 SAB  9 SAB 10 SAB  8  WCTL SAB 13 SAB  6 SAB  9 SAB 19 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 3  3 
WTC  WCTL SAB 11 SAB 24 SAB  9 SAB 10 SAB  7  WCTL SAB 13 SAB  6 SAB  9 SAB 19 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 3  3 
